inst_id,year,ncses_inst_id,toi_code,ffrdctype,inst_name_long,inst_city,inst_state_code,inst_zip,questionnaire_no,question,row,column,data,status,othinfo,standardized_agency_names
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,03,Other agency specified,01,,11805,,Department of State (DOS),Department of State
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,03,Other agency specified,02,,9422,,Nuclear Regulatory Commission (NRC),Nuclear Regulatory Commission
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,03,Other agency specified,03,,1690,,Environmental Protection Agency (EPA),Environmental Protection Agency
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,03,Other agency specified,04,,1646,,Internal Revenue Service (IRS),Department of the Treasury
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,03,Other agency specified,05,,649,,National Oceanic and Atmospheric Administration (NOAA),Department of Commerce
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,03,Other agency specified,06,,550,,General Services Administration (GSA),General Services Administration
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,03,Other agency specified,07,,164,,Department of the Interior,Department of the Interior
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,03,Other agency specified,08,,120,,U.S. Fish and Wildlife Services (FWS),Department of the Interior
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,03,Other agency specified,09,,86,,Bureau of Reclamation,Department of the Interior
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,03,Other agency specified,"Other, not listed separately",,9,,Other,Other agencies not listed
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.a,Type of R&D,Basic research,Federal,187969,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.a,Type of R&D,Basic research,Nonfederal,3481,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.a,Type of R&D,Basic research,Total,191450,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.b,Type of R&D,Applied research,Federal,242118,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.b,Type of R&D,Applied research,Nonfederal,4484,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.b,Type of R&D,Applied research,Total,246602,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.c,Type of R&D,Development,Federal,563646,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.c,Type of R&D,Development,Nonfederal,10438,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.c,Type of R&D,Development,Total,574084,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.d,Type of R&D,All,Federal,993733,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.d,Type of R&D,All,Nonfederal,18403,,,
400885,2019,F2446001,3,3,Pacific Northwest National Laboratory,Richland,WA,99352,04.d,Type of R&D,All,Total,1012136,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,01.a,Source,Federal government,,1480978,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,01.b,Source,State and local government,,671,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,01.c,Source,Business,,24361,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,01.d,Source,Nonprofit organizations,,330,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,01.e,Source,All other sources,,11089,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,01.f,Source,Total,,1517429,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,02.a,Federal agency,Department of Defense,,252990,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,02.b,Federal agency,Department of Energy,,1185857,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,02.c,Federal agency,Department of Health and Human Services,,5526,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,02.d,Federal agency,Department of Homeland Security,,24157,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,02.f,Federal agency,National Aeronautics and Space Administration,,1316,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,02.h,Federal agency,Other federal agencies,,11132,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,02.i,Federal agency,Total,,1480978,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,03,Other agency specified,01,,7618,,Department of State (DOS),Department of State
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,03,Other agency specified,02,,102,,Environmental Protection Agency (EPA),Environmental Protection Agency
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,03,Other agency specified,03,,71,,Agency for International Development (USAID),Agency for International Development
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,03,Other agency specified,04,,40,,Department of the Interior,Department of the Interior
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,03,Other agency specified,05,,2278,,Department of the Treasury,Department of the Treasury
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,03,Other agency specified,06,,963,,Federal Bureau of Investigation (FBI),Department of Justice
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,03,Other agency specified,07,,58,,General Services Administration (GSA),General Services Administration
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,03,Other agency specified,08,,2,,National Transportation Safety Board (NTSB),National Transportation Safety Board
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,04.a,Type of R&D,Basic research,Federal,103380,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,04.a,Type of R&D,Basic research,Nonfederal,2817,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,04.a,Type of R&D,Basic research,Total,106197,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,04.b,Type of R&D,Applied research,Federal,1129649,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,04.b,Type of R&D,Applied research,Nonfederal,33634,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,04.b,Type of R&D,Applied research,Total,1163283,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,04.c,Type of R&D,Development,Federal,247949,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,04.c,Type of R&D,Development,Nonfederal,0,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,04.c,Type of R&D,Development,Total,247949,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,04.d,Type of R&D,All,Federal,1480978,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,04.d,Type of R&D,All,Nonfederal,36451,,,
401435,2019,F1661001,3,2,Lawrence Livermore National Laboratory,Livermore,CA,94550,04.d,Type of R&D,All,Total,1517429,,,
900006,2019,F2085001,3,3,National Biodefense Analysis and Countermeasures Center,Frederick,MD,21702,01.a,Source,Federal government,,39003,,,
900006,2019,F2085001,3,3,National Biodefense Analysis and Countermeasures Center,Frederick,MD,21702,01.f,Source,Total,,39003,,,
900006,2019,F2085001,3,3,National Biodefense Analysis and Countermeasures Center,Frederick,MD,21702,02.c,Federal agency,Department of Health and Human Services,,841,,,
900006,2019,F2085001,3,3,National Biodefense Analysis and Countermeasures Center,Frederick,MD,21702,02.d,Federal agency,Department of Homeland Security,,25001,,,
900006,2019,F2085001,3,3,National Biodefense Analysis and Countermeasures Center,Frederick,MD,21702,02.h,Federal agency,Other federal agencies,,13161,,,
900006,2019,F2085001,3,3,National Biodefense Analysis and Countermeasures Center,Frederick,MD,21702,02.i,Federal agency,Total,,39003,,,
900006,2019,F2085001,3,3,National Biodefense Analysis and Countermeasures Center,Frederick,MD,21702,03,Other agency specified,01,,12992,,Federal Bureau of Investigation (FBI),Department of Justice
900006,2019,F2085001,3,3,National Biodefense Analysis and Countermeasures Center,Frederick,MD,21702,03,Other agency specified,02,,38,,Department of State (DOS),Department of State
900006,2019,F2085001,3,3,National Biodefense Analysis and Countermeasures Center,Frederick,MD,21702,03,Other agency specified,"Other, not listed separately",,131,,Other,Other agencies not listed
900006,2019,F2085001,3,3,National Biodefense Analysis and Countermeasures Center,Frederick,MD,21702,04.b,Type of R&D,Applied research,Federal,39003,,,
900006,2019,F2085001,3,3,National Biodefense Analysis and Countermeasures Center,Frederick,MD,21702,04.b,Type of R&D,Applied research,Nonfederal,0,,,
900006,2019,F2085001,3,3,National Biodefense Analysis and Countermeasures Center,Frederick,MD,21702,04.b,Type of R&D,Applied research,Total,39003,,,
900006,2019,F2085001,3,3,National Biodefense Analysis and Countermeasures Center,Frederick,MD,21702,04.d,Type of R&D,All,Federal,39003,,,
900006,2019,F2085001,3,3,National Biodefense Analysis and Countermeasures Center,Frederick,MD,21702,04.d,Type of R&D,All,Nonfederal,0,,,
900006,2019,F2085001,3,3,National Biodefense Analysis and Countermeasures Center,Frederick,MD,21702,04.d,Type of R&D,All,Total,39003,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,01.a,Source,Federal government,,1084953,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,01.c,Source,Business,,2055,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,01.e,Source,All other sources,,16862,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,01.f,Source,Total,,1103870,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,02.a,Federal agency,Department of Defense,,1005971,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,02.b,Federal agency,Department of Energy,,4007,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,02.d,Federal agency,Department of Homeland Security,,32220,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,02.e,Federal agency,Department of Transportation,,25978,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,02.f,Federal agency,National Aeronautics and Space Administration,,5377,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,02.h,Federal agency,Other federal agencies,,11400,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,02.i,Federal agency,Total,,1084953,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,03,Other agency specified,01,,4908,,National Oceanic and Atmospheric Administration (NOAA),Department of Commerce
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,03,Other agency specified,02,,163,,Department of Justice (DOJ),Department of Justice
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,03,Other agency specified,03,,3238,,Federal Bureau of Investigation (FBI),Department of Justice
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,03,Other agency specified,04,,508,,Agency for International Development (USAID),Agency for International Development
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,03,Other agency specified,"Other, not listed separately",,2583,,Other,Other agencies not listed
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,04.a,Type of R&D,Basic research,Federal,3217,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,04.a,Type of R&D,Basic research,Nonfederal,0,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,04.a,Type of R&D,Basic research,Total,3217,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,04.b,Type of R&D,Applied research,Federal,974361,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,04.b,Type of R&D,Applied research,Nonfederal,0,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,04.b,Type of R&D,Applied research,Total,974361,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,04.c,Type of R&D,Development,Federal,107375,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,04.c,Type of R&D,Development,Nonfederal,18917,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,04.c,Type of R&D,Development,Total,126292,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,04.d,Type of R&D,All,Federal,1084953,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,04.d,Type of R&D,All,Nonfederal,18917,,,
900010,2019,R1825001,3,1,Lincoln Laboratory,Lexington,MA,02173,04.d,Type of R&D,All,Total,1103870,,,
900011,2019,F0224001,3,1,Ames Laboratory,Ames,IA,50011,01.a,Source,Federal government,,33211,,,
900011,2019,F0224001,3,1,Ames Laboratory,Ames,IA,50011,01.b,Source,State and local government,,204,,,
900011,2019,F0224001,3,1,Ames Laboratory,Ames,IA,50011,01.c,Source,Business,,197,,,
900011,2019,F0224001,3,1,Ames Laboratory,Ames,IA,50011,01.f,Source,Total,,33612,,,
900011,2019,F0224001,3,1,Ames Laboratory,Ames,IA,50011,02.b,Federal agency,Department of Energy,,33211,,,
900011,2019,F0224001,3,1,Ames Laboratory,Ames,IA,50011,02.i,Federal agency,Total,,33211,,,
900011,2019,F0224001,3,1,Ames Laboratory,Ames,IA,50011,04.a,Type of R&D,Basic research,Federal,10084,,,
900011,2019,F0224001,3,1,Ames Laboratory,Ames,IA,50011,04.a,Type of R&D,Basic research,Nonfederal,4,,,
900011,2019,F0224001,3,1,Ames Laboratory,Ames,IA,50011,04.a,Type of R&D,Basic research,Total,10088,,,
900011,2019,F0224001,3,1,Ames Laboratory,Ames,IA,50011,04.b,Type of R&D,Applied research,Federal,22235,,,
900011,2019,F0224001,3,1,Ames Laboratory,Ames,IA,50011,04.b,Type of R&D,Applied research,Nonfederal,397,,,
900011,2019,F0224001,3,1,Ames Laboratory,Ames,IA,50011,04.b,Type of R&D,Applied research,Total,22632,,,
900011,2019,F0224001,3,1,Ames Laboratory,Ames,IA,50011,04.c,Type of R&D,Development,Federal,892,,,
900011,2019,F0224001,3,1,Ames Laboratory,Ames,IA,50011,04.c,Type of R&D,Development,Nonfederal,0,,,
900011,2019,F0224001,3,1,Ames Laboratory,Ames,IA,50011,04.c,Type of R&D,Development,Total,892,,,
900011,2019,F0224001,3,1,Ames Laboratory,Ames,IA,50011,04.d,Type of R&D,All,Federal,33211,,,
900011,2019,F0224001,3,1,Ames Laboratory,Ames,IA,50011,04.d,Type of R&D,All,Nonfederal,401,,,
900011,2019,F0224001,3,1,Ames Laboratory,Ames,IA,50011,04.d,Type of R&D,All,Total,33612,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,01.a,Source,Federal government,,787513,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,01.c,Source,Business,,17093,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,01.d,Source,Nonprofit organizations,,522,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,01.e,Source,All other sources,,5565,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,01.f,Source,Total,,810693,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,02.a,Federal agency,Department of Defense,,24726,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,02.b,Federal agency,Department of Energy,,700782,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,02.c,Federal agency,Department of Health and Human Services,,5059,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,02.d,Federal agency,Department of Homeland Security,,23965,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,02.e,Federal agency,Department of Transportation,,8311,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,02.f,Federal agency,National Aeronautics and Space Administration,,356,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,02.g,Federal agency,National Science Foundation,,2487,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,02.h,Federal agency,Other federal agencies,,21827,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,02.i,Federal agency,Total,,787513,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,03,Other agency specified,01,,4321,,Department of Agriculture (USDA),Department of Agriculture
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,03,Other agency specified,02,,3748,,Department of the Interior,Department of the Interior
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,03,Other agency specified,03,,4165,,Department of State (DOS),Department of State
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,03,Other agency specified,04,,397,,Environmental Protection Agency (EPA),Environmental Protection Agency
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,03,Other agency specified,05,,4475,,Nuclear Regulatory Commission (NRC),Nuclear Regulatory Commission
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,03,Other agency specified,06,,4580,,Office of the Director of National Intelligence (ODNI),Office of the Director of National Intelligence
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,03,Other agency specified,07,,76,,Agency for International Development (USAID),Agency for International Development
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,03,Other agency specified,08,,16,,Federal Bureau of Investigation (FBI),Department of Justice
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,03,Other agency specified,"Other, not listed separately",,49,,Other,Other agencies not listed
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,04.a,Type of R&D,Basic research,Federal,175065,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,04.a,Type of R&D,Basic research,Nonfederal,0,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,04.a,Type of R&D,Basic research,Total,175065,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,04.b,Type of R&D,Applied research,Federal,346334,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,04.b,Type of R&D,Applied research,Nonfederal,20921,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,04.b,Type of R&D,Applied research,Total,367255,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,04.c,Type of R&D,Development,Federal,266114,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,04.c,Type of R&D,Development,Nonfederal,2259,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,04.c,Type of R&D,Development,Total,268373,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,04.d,Type of R&D,All,Federal,787513,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,04.d,Type of R&D,All,Nonfederal,23180,,,
900012,2019,F0255001,3,1,Argonne National Laboratory,Argonne,IL,60439,04.d,Type of R&D,All,Total,810693,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,01.a,Source,Federal government,,561030,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,01.b,Source,State and local government,,20463,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,01.c,Source,Business,,4952,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,01.d,Source,Nonprofit organizations,,459,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,01.e,Source,All other sources,,3566,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,01.f,Source,Total,,590470,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,02.a,Federal agency,Department of Defense,,706,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,02.b,Federal agency,Department of Energy,,528289,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,02.c,Federal agency,Department of Health and Human Services,,3127,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,02.d,Federal agency,Department of Homeland Security,,1157,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,02.f,Federal agency,National Aeronautics and Space Administration,,9403,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,02.h,Federal agency,Other federal agencies,,18348,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,02.i,Federal agency,Total,,561030,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,03,Other agency specified,01,,1085,,Department of Commerce,Department of Commerce
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,03,Other agency specified,02,,11783,,Department of State (DOS),Department of State
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,03,Other agency specified,03,,3017,,Nuclear Regulatory Commission (NRC),Nuclear Regulatory Commission
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,03,Other agency specified,04,,638,,Other Miscellaneous,Other agencies not listed
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,03,Other agency specified,05,,474,,Other Government Agency 1 (identity FOUO),Other agencies not listed
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,03,Other agency specified,06,,418,,Other Government Agency 2 (identity FOUO),Other agencies not listed
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,03,Other agency specified,07,,326,,Other Government Agency 3 (identity FOUO),Other agencies not listed
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,03,Other agency specified,08,,294,,Other Government Agency 4 (identity FOUO),Other agencies not listed
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,03,Other agency specified,09,,173,,Other Government Agency 5 (identity FOUO),Other agencies not listed
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,03,Other agency specified,10,,140,,Other Government Agency 6 (identity FOUO),Other agencies not listed
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,04.a,Type of R&D,Basic research,Federal,446847,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,04.a,Type of R&D,Basic research,Nonfederal,1860,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,04.a,Type of R&D,Basic research,Total,448707,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,04.b,Type of R&D,Applied research,Federal,76209,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,04.b,Type of R&D,Applied research,Nonfederal,9241,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,04.b,Type of R&D,Applied research,Total,85450,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,04.c,Type of R&D,Development,Federal,37974,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,04.c,Type of R&D,Development,Nonfederal,18339,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,04.c,Type of R&D,Development,Total,56313,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,04.d,Type of R&D,All,Federal,561030,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,04.d,Type of R&D,All,Nonfederal,29440,,,
900013,2019,F0480001,3,3,Brookhaven National Laboratory,Upton,NY,11973-5000,04.d,Type of R&D,All,Total,590470,,,
900016,2019,F1660001,3,1,Lawrence Berkeley National Laboratory,Berkeley,CA,94701,01.a,Source,Federal government,,807967,,,
900016,2019,F1660001,3,1,Lawrence Berkeley National Laboratory,Berkeley,CA,94701,01.b,Source,State and local government,,12919,,,
900016,2019,F1660001,3,1,Lawrence Berkeley National Laboratory,Berkeley,CA,94701,01.c,Source,Business,,25574,,,
900016,2019,F1660001,3,1,Lawrence Berkeley National Laboratory,Berkeley,CA,94701,01.d,Source,Nonprofit organizations,,8666,,,
900016,2019,F1660001,3,1,Lawrence Berkeley National Laboratory,Berkeley,CA,94701,01.e,Source,All other sources,,17111,,,
900016,2019,F1660001,3,1,Lawrence Berkeley National Laboratory,Berkeley,CA,94701,01.f,Source,Total,,872237,,,
900016,2019,F1660001,3,1,Lawrence Berkeley National Laboratory,Berkeley,CA,94701,02.a,Federal agency,Department of Defense,,9147,,,
900016,2019,F1660001,3,1,Lawrence Berkeley National Laboratory,Berkeley,CA,94701,02.b,Federal agency,Department of Energy,,764465,,,
